               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  79,              1.0377,             0.64374,              1.2908,             0.70341,             0.69073,             0.70214,             0.44298,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.0309,             0.63935,              1.2899,             0.69839,             0.68027,             0.69707,             0.43773,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.0321,             0.64191,              1.2869,             0.70954,             0.67106,             0.70009,             0.43876,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.0163,             0.62851,              1.2744,             0.69835,             0.68931,             0.69857,              0.4361,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.0272,             0.63768,              1.2823,             0.69337,             0.68538,             0.69597,             0.43844,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.0182,             0.64305,              1.2827,             0.69425,             0.69746,             0.69939,             0.44136,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.99757,             0.62455,              1.2723,             0.71514,             0.67981,             0.69938,             0.44109,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.99512,             0.61796,              1.2662,             0.68149,             0.70921,             0.69918,             0.44051,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.0048,             0.63287,              1.2792,             0.69927,             0.68463,             0.70042,             0.43944,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.98614,             0.61762,              1.2667,             0.70867,             0.68049,             0.70155,             0.44119,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.98623,             0.61738,              1.2676,             0.71576,             0.67608,               0.701,             0.44244,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.97099,             0.61022,              1.2582,             0.69231,             0.68804,              0.6996,             0.44194,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.97703,             0.61203,              1.2588,             0.68659,             0.69019,             0.70258,             0.44257,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.96301,             0.60561,              1.2565,             0.72849,             0.67305,             0.70058,             0.44498,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.96883,             0.60736,              1.2561,             0.68956,             0.69616,             0.70295,             0.44238,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.95751,             0.59639,              1.2433,             0.70459,             0.68611,              0.6998,             0.44232,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.95247,             0.60145,              1.2486,              0.7026,             0.68666,             0.70112,              0.4405,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.94297,             0.59368,               1.245,             0.70364,             0.68134,             0.69829,             0.44081,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.94764,             0.59808,              1.2464,             0.71001,             0.67863,             0.69939,             0.44259,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.93592,             0.58861,              1.2349,             0.70561,             0.68709,             0.69932,             0.44225,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.94098,              0.5934,              1.2399,             0.70082,             0.68106,             0.69913,             0.44233,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
